Sample_ID,Row,Group,Range,Location_ID,Sample_year,Treatment_ID,Replicate,Location_desc,Cover_sp,Notes
3_T_D2, 3,rep2, 2,T,2020,D,a,old tree row,oilseed radish,-
3_TR_A2, 3,rep2, 1,TR,2019,A,b,old tree row,none,-
3_TR_B2, 3,rep2, 3,TR,2019,B,b,old tree row,soybeans,-
3_TR_C2, 3,rep2, 4,TR,2019,C,b,old tree row,oats,-
3_TR_D2, 3,rep2, 2,TR,2019,D,b,old tree row,oilseed radish,-
4_L_A2, 4,rep2, 1,L,2020,A,a,old drive lane,none,-
4_L_B2, 4,rep2, 3,L,2020,B,a,old drive lane,soybeans,-
4_L_C2, 4,rep2, 4,L,2020,C,a,old drive lane,oats,-
4_L_D2, 4,rep2, 2,L,2020,D,a,old drive lane,oilseed radish,-
4_LN_A2, 4,rep2, 1,LN,2019,A,b,old drive lane,none,-
4_LN_B2, 4,rep2, 3,LN,2019,B,b,old drive lane,soybeans,-
4_LN_C2, 4,rep2, 4,LN,2019,C,b,old drive lane,oats,-
4_LN_D2, 4,rep2, 2,LN,2019,D,b,old drive lane,oilseed radish,-
5_L_A3, 5,rep3, 4,L,2020,A,a,old drive lane,none,-
5_L_B3, 5,rep3, 5,L,2020,B,a,old drive lane,soybeans,-
5_L_C3, 5,rep3, 6,L,2020,C,a,old drive lane,oats,-
5_L_D3, 5,rep3, 7,L,2020,D,a,old drive lane,oilseed radish,-
5_LN_A3, 5,rep3, 4,LN,2019,A,b,old drive lane,none,-
5_LN_B3, 5,rep3, 5,LN,2019,B,b,old drive lane,soybeans,-
5_LN_C3, 5,rep3, 6,LN,2019,C,b,old drive lane,oats,-
5_LN_D3, 5,rep3, 7,LN,2019,D,b,old drive lane,oilseed radish,-
6_T_A3, 6,rep3, 4,T,2020,A,a,old tree row,none,-
6_T_B3, 6,rep3, 5,T,2020,B,a,old tree row,soybeans,-
6_T_C3, 6,rep3, 6,T,2020,C,a,old tree row,oats,-
6_T_D3, 6,rep3, 7,T,2020,D,a,old tree row,oilseed radish,-
6_TL_D3, 6,rep3, 7,TL,2019,D,b,old tree row,oilseed radish,-
6_TR_A3, 6,rep3, 4,TR,2019,A,b,old tree row,none,-
6_TR_B3, 6,rep3, 5,TR,2019,B,b,old tree row,soybeans,-
6_TR_C3, 6,rep3, 6,TR,2019,C,b,old tree row,oats,-
7_T_A4, 7,rep4, 1,T,2020,A,a,old tree row,none,-
7_T_B4, 7,rep4, 4,T,2020,B,a,old tree row,soybeans,-
7_T_C4, 7,rep4, 2,T,2020,C,a,old tree row,oats,-
7_T_D4, 7,rep4, 3,T,2020,D,a,old tree row,oilseed radish,-
7_TR_A4, 7,rep4, 1,TR,2019,A,b,old tree row,none,-
7_TR_B4, 7,rep4, 4,TR,2019,B,b,old tree row,soybeans,-
7_TR_C4, 7,rep4, 2,TR,2019,C,b,old tree row,oats,-
7_TR_D4, 7,rep4, 3,TR,2019,D,b,old tree row,oilseed radish,-
8_L_A4, 8,rep4, 1,L,2020,A,a,old drive lane,none,-
8_L_B4, 8,rep4, 4,L,2020,B,a,old drive lane,soybeans,-
8_L_C4, 8,rep4, 2,L,2020,C,a,old drive lane,oats,-
8_L_D4, 8,rep4, 3,L,2020,D,a,old drive lane,oilseed radish,-
8_LN_A4, 8,rep4, 1,LN,2019,A,b,old drive lane,none,-
8_LN_B4, 8,rep4, 4,LN,2019,B,b,old drive lane,soybeans,-
8_LN_C4, 8,rep4, 2,LN,2019,C,b,old drive lane,oats,-
8_LN_D4, 8,rep4, 3,LN,2019,D,b,old drive lane,oilseed radish,-
9_L_A5, 9,rep5, 4,L,2020,A,a,old drive lane,none,-
9_L_B5, 9,rep5, 6,L,2020,B,a,old drive lane,soybeans,-
9_L_C5, 9,rep5, 5,L,2020,C,a,old drive lane,oats,-
9_L_D5, 9,rep5, 7,L,2020,D,a,old drive lane,oilseed radish,-
9_LN_A5, 9,rep5, 4,LN,2019,A,b,old drive lane,none,-
9_LN_B5, 9,rep5, 6,LN,2019,B,b,old drive lane,soybeans,-
9_LN_C5, 9,rep5, 5,LN,2019,C,b,old drive lane,oats,-
9_LN_D5, 9,rep5, 7,LN,2019,D,b,old drive lane,oilseed radish,-
